ID,SEQUENCE,POS
1278,"Although York is not directly on any of the main north - south motorways , the connections are reasonably good .","IN NNP VBZ RB RB IN DT IN DT JJ NNP HYPH NNP NNS , DT NNS VBP RB JJ ."
1279,Be aware that growing Beavertail cactus from seeds takes much longer than growing one from a cutting .,VB JJ IN VBG NNP NN IN NNS VBZ RB RBR IN VBG CD IN DT NN .
1280,"Three decades it took , to see the irony in that remark .","CD NNS PRP VBD , TO VB DT NN IN DT NN ."
1281,"you even talk to them , your rep will be trashed on all the major servers .","PRP RB VBP IN PRP , PRP$ NN MD VB VBN IN PDT DT JJ NNS ."
1282,She always says that .,PRP RB VBZ DT .
1283,"Well , Carolyn was _","UH , NNP VBD :"
1284,"We are smiling , both of us .","PRP VBP VBG , DT IN PRP ."
1285,"If there is nothing to eat , mice will be less likely to stay .","IN EX VBZ NN TO VB , NNS MD VB RBR JJ TO VB ."
1286,"Opened in 2005 , Kopinga is the official meeting place of Te Imi Moriori .","VBN IN CD , NNP VBZ DT JJ NN NN IN NNP NNP NNP ."
1287,"Ah , you suck .","UH , PRP VBP ."
1288,That was a joke .,DT VBD DT NN .
1289,"The difference in the results obtained from the application of D2 Test of attention before and after was statistically significant ( p < 0.05 ) , the participant group had mean and standard deviation 60.23 ( 64.75 ) respectively , while the control group was 20.00 ( 42.65 ) .","DT NN IN DT NNS VBN IN DT NN IN NN NN IN NN IN CC IN VBD RB JJ -LRB- NN SYM CD -RRB- , DT NN NN VBD NN CC JJ NN CD -LRB- CD -RRB- RB , IN DT NN NN VBD CD -LRB- CD -RRB- ."
1290,Drop one to two seeds into each container .,VB CD IN CD NNS IN DT NN .
1291,Clean paper can be purchased cheaply from moving supply stores .,JJ NN MD VB VBN RB IN VBG NN NNS .
1292,Okay .,UH .
1293,thierry.poibeau@ens.fr,NNP
1294,There you go !,EX PRP VBP .
1295,"Although useful , such samples are not representative of the scientific workforce as a whole and thus have limited generalizability .","IN JJ , JJ NNS VBP RB JJ IN DT JJ NN IN DT NN CC RB VB JJ NN ."
1296,Extract 3 Lao ( Laos ) [ CONV_050815c_03.10 ],NNP CD NNP -LRB- NNP -RRB- -LRB- SYM -RRB-
1297,"I sat in the shadow in my living room for a while , looking at the amorphous mass of the blanket I had been crocheting .","PRP VBD IN DT NN IN PRP$ NN NN IN DT NN , VBG IN DT JJ NN IN DT NN PRP VBD VBN VBG ."
1298,He alone condemns .,PRP RB VBZ .
1299,York was home first to the Ninth Legion and home later to the Sixth .,NNP VBD NN RB IN DT NNP NNP CC NN RBR IN DT NNP .
1300,It is persistent in the environment ; it never breaks down nor goes away .,PRP VBZ JJ IN DT NN : PRP RB VBZ RP CC VBZ RB .
1301,Tonight we fight the battle for Kethlan and for the Imperium ; the battle for our survival .,RB PRP VBP DT NN IN NNP CC IN DT NNP : DT NN IN PRP$ NN .
1302,Method 1 of 3 : Single Serving ( 25 mL Shot ),NN CD IN CD : JJ NN -LRB- CD NN NN -RRB-
1303,Lindsey ?,NNP .
1304,Padalecki and Supernatural co-stars Jensen Ackles and Misha Collins supported Beto O'Rourke for the 2018 Senate election in Texas . [ 19 ],NNP CC NNP NNS NNP NNP CC NNP NNP VBD NNP NNP IN DT CD NNP NN IN NNP . -LRB- CD -RRB-
1305,All the time .,PDT DT NN .
1306,"Indeed our weekly poetry project celebrates this diversity of voice : each week a new short poem is chosen and as many readers as wish to record a version , so you get 20 + versions of the same poem , a very interesting audio experience .","RB PRP$ JJ NN NN VBZ DT NN IN NN : DT NN DT JJ JJ NN VBZ VBN CC RB JJ NNS IN VBP TO VB DT NN , RB PRP VBP CD SYM NNS IN DT JJ NN , DT RB JJ JJ NN ."
1307,Okay .,UH .
1308,"Madam Speaker , this afternoon , Senators will be asked to vote on the two Articles of Impeachment the House presented on abuse of power and the obstruction of Congress .","NNP NNP , DT NN , NNS MD VB VBN TO VB IN DT CD NNPS IN NNP DT NNP VBD IN NN IN NN CC DT NN IN NNP ."
1309,Wikinews interviews President of the International Brotherhood of Magicians,NNP VBZ NNP IN DT NNP NNP IN NNPS
1310,"Currently , we 're in talks with people .","RB , PRP VBP IN NNS IN NNS ."
1311,York Minster,NNP NNP
1312,You lose th- complete trust .,PRP VBP UH JJ NN .
1313,Oh yeah .,UH UH .
1314,"When w- you take over another person , you take a _ you get , their cards .","WRB UH PRP VBP RP DT NN , PRP VBP DT : PRP VBP , PRP$ NNS ."
1315,"From these data , we generate the mutation operator , in the form of on aspect , which will then be possible to interweave with the SUT which generates a mutant of the SUT .","IN DT NNS , PRP VBP DT NN NN , IN DT NN IN DT NN , WDT MD RB VB JJ TO VB IN DT NN WDT VBZ DT NN IN DT NN ."
1316,"Throw it up , up , up , up !","VB PRP RB , RB , RB , RB ."
1317,"Six , fifty - six .","CD , CD HYPH CD ."
1318,Not Bill Wilson .,RB NNP NNP .
1319,"In order to be invited to the debates , we must raise money and poll nationally .","IN NN TO VB VBN IN DT NNS , PRP MD VB NN CC VB RB ."
1320,Look at this .,VB IN DT .
1321,One thing lay motionless .,CD NN VBD JJ .
1322,Place two parts water or stock to one part of quinoa in a saucepan over medium - high heat and bring to a boil .,VB CD NNS NN CC NN IN CD NN IN NN IN DT NN IN JJ HYPH JJ NN CC VB IN DT NN .
1323,Tried - and - tested processes and products that have a proven history of success can be a formidable obstacle to new ideas .,VBN HYPH CC HYPH VBN NNS CC NNS WDT VBP DT VBN NN IN NN MD VB DT JJ NN IN JJ NNS .
1324,So .,RB .
1325,Military service,JJ NN
1326,Lighting takes a large part on the consumption of household electrical energy particularly in the Philippines .,NN VBZ DT JJ NN IN DT NN IN NN JJ NN RB IN DT NNPS .
1327,"If you prefer larger cupcakes , then add a half a cup but make sure the muffin pan is larger and the cupcake holders are bigger .","IN PRP VBP JJR NNS , RB VB DT PDT DT NN CC VB JJ DT NN NN VBZ JJR CC DT NN NNS VBP JJR ."
1328,Awesome !,JJ .
1329,Betty was thirty - eight and still believed in Santa Claus .,NNP VBD CD HYPH CD CC RB VBD IN NNP NNP .
1330,Speaker Pelosi .,NNP NNP .
1331,"I had buried my husband in a lead box sunk into the mud of the bottom of the river , where all the riverboatmen lie .","PRP VBD VBN PRP$ NN IN DT NN NN VBN IN DT NN IN DT NN IN DT NN , WRB PDT DT NNS VBP ."
1332,"Thus commenced his unprecedented and whimsical 21 - year "" reign "" over America .",RB VBD PRP$ JJ CC JJ CD HYPH NN `` NN '' IN NNP .
1333,The rustling might have been mice .,DT NN MD VB VBN NNS .
1334,"Pag backed away , eyes wide .","NNP VBD RB , NNS JJ ."
1335,"Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 ) and at the same time offers a direct way of studying several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) .","JJ NN NN NN VBZ VBN DT NN TO VB DT NNS PRP VBP JJ NN IN DT NNS -LRB- VB IN NN NNP CD : NNP FW FW , CD -RRB- CC IN DT JJ NN VBZ DT JJ NN IN VBG JJ JJ NNS IN DT NN NN -LRB- NNP NNP FW FW , CD : NNP CC NNP CD : NNP CD -RRB- ."
1336,"And then the horror of it all hit me and I said , _ Sonia , up ! _","CC RB DT NN IN PRP DT VBD PRP CC PRP VBD , `` NNP , RB . ''"
1337,"In the end , propaganda worked where empathy failed .","IN DT NN , NN VBD WRB NN VBD ."
1338,"So , at night I was getting really hot then getting cold then getting hot and cold .","RB , IN NN PRP VBD VBG RB JJ RB VERB JJ RB VERB JJ CC JJ ."
1339,"To test if the postural differences observed in this study produced changes in limb morphology , we measured the length and mid-shaft cross-sectional properties of the femur in all our individuals .","TO VB IN DT JJ NNS VBD IN DT NN VBD NNS IN NN NN , PRP VBD DT NN CC JJ JJ NNS IN DT NN IN PDT PRP$ NNS ."
1340,Pack the lighter items on top .,VB DT JJR NNS IN NN .
1341,"So Erasmus laid the the _ laid the egg , which Luther hatched .","UH NNP VBD DT DT : VBD DT NN , WDT NNP VBD ."
1342,"Several of her trademark themes appear ; for example , the triangular relationship among a lonely , beautiful , young woman who has lost her parents , a handsome man who has abandoned her ( and remains in the background ) , and a lonely and desperate ragamuffin who falls in love with her .","JJ IN PRP$ NN NNS VBP : IN NN , DT JJ NN IN DT JJ , JJ , JJ NN WP VBZ VBN PRP$ NNS , DT JJ NN WP VBZ VBN PRP -LRB- CC VBZ IN DT NN -RRB- , CC DT JJ CC JJ NN WP VBZ IN NN IN PRP ."
1343,How to Play Muggle Quidditch,WRB TO VB NNP NNP
1344,We have a strong public health system .,PRP VBP DT JJ JJ NN NN .
1345,We support doubling the rate of improvement in energy efficiency and the share of renewable energy in the global energy mix by 2030 .,PRP VBP VBG DT NN IN NN IN NN NN CC DT NN IN JJ NN IN DT JJ NN NN IN CD .
1346,"Well , he came over to you all smiles , I noticed .","UH , PRP VBD RP IN PRP RB NNS , PRP VBD ."
1347,Of course this was a long time ago and they were all men .,IN NN DT VBD DT JJ NN RB CC PRP VBD RB NNS .
1348,Flight durations are almost three hours .,NN NNS VBP RB CD NNS .
1349,"At one time it had for a little while glowed more brilliantly again , but it speedily reverted to its sullen red heat .","IN CD NN PRP VBD IN DT JJ NN VBN RBR RB RB , CC PRP RB VBD IN PRP$ JJ JJ NN ."
1350,"So they rescinded their pledge not to use nuclear weapons on first strike , NATO had never rescinded it , but they had and started some remilitarization .","RB PRP VBD PRP$ NN RB TO VB JJ NNS IN JJ NN , NNP VBD RB VBN PRP , CC PRP VBD CC VBD DT NN ."
1351,Did I make him aggressive ?,VBD PRP VB PRP JJ .
1352,"Bernoulli also wrote a large number of papers on various mechanical questions , especially on problems connected with vibrating strings , and the solutions given by Brook Taylor and by Jean le Rond d'Alembert .","NNP RB VBD DT JJ NN IN NNS IN JJ JJ NNS , RB IN NNS VBN IN VBG NNS , CC DT NNS VBN IN NNP NNP CC IN NNP NNP NNP NNP ."
1353,That is so high .,DT VBZ RB JJ .
1354,"The nearest airports to Fort Lee are Newark Airport , LaGuardia Airport , Teterboro ( general aviation only ) , JFK and Westchester County Airport .","DT JJS NNS IN NNP NNP VBP NNP NNP , NNP NNP , NNP -LRB- JJ NN RB -RRB- , NNP CC NNP NNP NNP ."
1355,"Researchers call this effect "" tonic immobility "" .",NNS VBP DT NN `` JJ NN '' .
1356,And we __e doing Universal tomorrow .,CC PRP VBP VBG NNP NN .
1357,Gino is in the middle .,NNP VBZ IN DT NN .
1358,_ Can Toph and Len come over ? _ I ask .,`` MD NNP CC NNP VB RP . '' PRP VBP .
1359,He achieved some fame as an architect by redesigning the City Hall in New York for the First Congress of the United States ( See : Federal Hall ) .,PRP VBD DT NN IN DT NN IN VBG DT NN NN IN NNP NNP IN DT NNP NNP IN DT NNP NNPS -LRB- VB : NNP NNP -RRB- .
1360,"nevertheless , he was treated deferentially in San Francisco , and currency issued in his name was honored in the establishments he frequented .","RB , PRP VBD VBN RB IN NNP NNP , CC NN VBN IN PRP$ NN VBD VBN IN DT NNS PRP VBD ."
1361,Will they take it as an opportunity to educate viewers about disability and diversity while showing superb athletic performances without engaging in a discourse of pity ?,MD PRP VB PRP IN DT NN TO VB NNS IN NN CC NN IN VBG JJ JJ NNS IN VBG IN DT NN IN NN .
1362,"The growing presence of American settlers in Texas , their reluctance to abide by Mexican law , and their desire for independence caused the Mexican government to grow wary .","DT VBG NN IN JJ NNS IN NNP , PRP$ NN TO VB IN JJ NN , CC PRP$ NN IN NN VBD DT JJ NN TO VB JJ ."
1363,"For Kevin Allton , a USI instructor in English , Warhol was also a legend .","IN NNP NNP , DT NNP NN IN NNP , NNP VBD RB DT NN ."
1364,Mm .,UH .
1365,"Just put marks over the letters or make up something right on the spot , you might have to take some time on this !","RB VB NNS IN DT NNS CC VB RP NN RB IN DT NN , PRP MD VB TO VB DT NN IN DT ."
1366,Respondent race .,NN NN .
1367,Mm .,UH .
1368,"repair is initiated not by the speaker of the first turn but by the other participant ( _ other - initiated _ ) , and the repair initiator signals that there is a problem , but it leaves open what the problem is ( _ open _ ) [ 11 ] .","NN VBZ VBN RB IN DT NN IN DT JJ NN CC IN DT JJ NN -LRB- `` JJ HYPH VBN '' -RRB- , CC DT NN NN VBZ IN EX VBZ DT NN , CC PRP VBZ JJ WP DT NN VBZ -LRB- `` JJ '' -RRB- -LRB- CD -RRB- ."
1369,How to Make Vegan Cupcakes,WRB TO VB JJ NNS
1370,When I bought it .,WRB PRP VBD PRP .
1371,This blue lipstick is definitely old .,DT JJ NN VBZ RB JJ .
1372,"In the 90th minute , Belgium made a change , as Nacer Chadli replaced Axel Witsel .","IN DT JJ NN , NNP VBD DT NN , IN NNP NNP VBD NNP NNP ."
1373,There are three main motivation concepts that have been found to directly relate to learning .,EX VBP CD JJ NN NNS WDT VBP VBN VBN TO RB VB IN NN .
1374,"Once again , this phenomenon has the effect of making peer - reviewed journals appear less legitimate .","RB RB , DT NN VBZ DT NN IN VBG NN HYPH VBN NNS VB RBR JJ ."
1375,"Five , I got zero equals zero .","CD , PRP VBD CD VBZ CD ."
1376,What the heck ?,WP DT NN .
1377,We have no choice but to return to direct negotiations between the two parties .,PRP VBP DT NN IN TO VB IN JJ NNS IN DT CD NNS .
1378,She left Barstool Sports in 2011 . [ 9 ],PRP VBD NNP NNP IN CD . -LRB- CD -RRB-
1379,"St. Jerome in the Desert , by Giovanni Bellini ( 1505 )","NNP NNP IN DT NNP , IN NNP NNP -LRB- CD -RRB-"
1380,Memon also said she believed the social movement in reaction to Mohamed helped improve Muslim / non-Muslim .,NNP RB VBD PRP VBD DT JJ NN IN NN IN NNP VBD VB JJ SYM JJ .
1381,We are reviewing the National ICT Policy Guidelines to ensure alignment with proposed Sustainable Development Goals .,PRP VBP VBG DT NNP NNP NNP NNPS TO VB NN IN VBN NNP NNP NNPS .
1382,"I thank Karen Bass again , Madam Chair .","PRP VBP NNP NNP RB , NNP NNP ."
1383,I definitely had this for at least _ at least four years cuz I definitely had this in college as well .,PRP RB VBD DT IN IN JJS : IN JJS CD NNS IN PRP RB VBD DT IN NN RB RB .
1384,And they m-,CC PRP UH
1385,Yeah this is _ this is great .,UH DT VBZ : DT VBZ JJ .
1386,"My page jumped out of bed as if crazed , looking more dead than alive , and you can imagine how I felt when he cried , _ They 're already being presented to the king ! ""","PRP$ NN VBD IN IN NN IN IN VBN , VBG RBR JJ IN JJ , CC PRP MD VB WRB PRP VBD WRB PRP VBD , `` PRP VBP RB VBG VBN IN DT NN . ''"
1387,Manuscript review and processing took about four months .,NN NN CC VBG VBD RB CD NNS .
1388,People like flirting to be fun .,NNS VBP NN TO VB JJ .
1389,"The expropriation of YPF is a case in which the Argentine State presents predatory behavior , encouraged by an extractive institutional framework .","DT NN IN NNP VBZ DT NN IN WDT DT NNP NNP VBZ JJ NN , VBN IN DT JJ JJ NN ."
1390,"The centerpiece of this rock concert - like performance is a 15 meter high rotating pig equipped with a fog machine , laser light show and theme music .","DT NN IN DT NN NN HYPH JJ NN VBZ DT CD NN JJ VBG NN VBN IN DT NN NN , NN NN NN CC NN NN ."
1391,Neiafu town is the centre of activity .,NNP NN VBZ DT NN IN NN .
1392,"I herd Cara towards the front of the store , mouthing sorry at the front cashier .","PRP VBP NNP IN DT NN IN DT NN , VBG JJ IN DT JJ NN ."
1393,What row ?,WDT NN .
1394,Boston Red Sox ( 2013 _ present ),NNP NNP NNPS -LRB- CD SYM NN -RRB-
1395,In his thinking .,IN PRP$ NN .
1396,No no no no no no n- no no n- no .,UH UH UH UH UH UH UH UH UH UH UH .
1397,He was 20 years old .,PRP VBD CD NNS JJ .
1398,"Also , there are other sites , notably podiobooks.com , which are better suited to CC works than LibriVox .","RB , EX VBP JJ NNS , RB NNP , WDT VBP RBR VBN IN NNP NNS IN NNP ."
1399,With his magnifying glass .,IN PRP$ VBG NN .
1400,"He steps off the moving sidewalk near you : tall , hook - nosed , the fashionable whorls of pox and acne making constellations of his cheeks and chest ; the glowing , formal tattoos of his committees and lifebrands adorning his massive triceps .","PRP VBZ IN DT VBG NN IN PRP : JJ , NN HYPH JJ , DT JJ NNS IN NN CC NN VBG NNS IN PRP$ NNS CC NN : DT JJ , JJ NNS IN PRP$ NNS CC NNS VBG PRP$ JJ NNS ."
1401,The current study will contribute to the development of further qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .,DT JJ NN MD VB IN DT NN IN JJR JJ CC JJ NN WDT MD RBR RB VB DT NN NNS IN DT NN NN .
1402,"With that , Madam Speaker , I urge a strong , bipartisan vote on the George Floyd Justice in Policing Act .","IN DT , NNP NNP , PRP VBP DT JJ , JJ NN IN DT NNP NNP NNP IN NNP NNP ."
1403,"And , then , with an awful sucking slurp , it came free .","CC , RB , IN DT JJ VBG NN , PRP VBD JJ ."
1404,Yeah .,UH .
1405,I loved the little bit about the potty training .,PRP VBD DT JJ NN IN DT NN NN .
1406,Oh oh .,UH UH .
1407,"Before the birth of freedom , we have endured all the pains of labour and our hearts are heavy with the memory of this sorrrow .","IN DT NN IN NN , PRP VBP VBN PDT DT NNS IN NN CC PRP$ NNS VBP JJ IN DT NN IN DT NN ."
1408,"He felt his hand tighten on the flight helmet he held , swallowing hard .","PRP VBD PRP$ NN VB IN DT NN NN PRP VBD , VBG RB ."
1409,North Americans keep more distance and maintain a large _ personal space . _,NNP NNPS VBP JJR NN CC VBP DT JJ `` JJ NN . ''
1410,How to Play a Real - Life Game of Quidditch,WRB TO VB DT JJ HYPH NN NN IN NNP
1411,It will help them take care of you . _,PRP MD VB PRP VB NN IN PRP . ''
1412,"To seek the real beauty , or real deformity , is as fruitless an inquiry , as to pretend to ascertain the real sweet or real bitter _ ( Hume 1998 , 136 _ 137 ) .","TO VB DT JJ NN , CC JJ NN , VBZ RB JJ DT NN , IN TO VB TO VB DT JJ JJ CC JJ JJ '' -LRB- NNP CD , CD : CD -RRB- ."
1413,Hi !,UH .
1414,"To complete the analogy , we need something that normally travels in a straight line ( as light does ) .","TO VB DT NN , PRP VBP NN WDT RB VBZ IN DT JJ NN -LRB- IN NN VBZ -RRB- ."
1415,The referee should ensure that rules are being followed .,DT NN MD VB IN NNS VBP VBG VBN .
1416,Children Jérôme Richard,NNS NNP NNP
1417,Mice smell garbage and get attracted to your house .,NNS VBP NN CC VBP VBN IN PRP$ NN .
1418,Mutation - based testing [ 1 ] is a test technique that involves artificially introducing errors into a System Under Test ( SUT ) .,NN HYPH VBN NN -LRB- CD -RRB- VBZ DT NN NN WDT VBZ RB VBG NNS IN DT NN IN NN -LRB- NN -RRB- .
1419,Athens hosted the 2004 Summer Olympic Games .,NNP VBD DT CD NNP NNP NNPS .
1420,"He later expanded his pretense by claiming to be "" Protector of Mexico "" as well .",PRP RBR VBD PRP$ NN IN VBG TO VB `` NNP IN NNP '' RB RB .
1421,Ichiy_ Higuchi,NNP NNP
1422,Wow !,UH .
1423,Yeah they are .,UH PRP VBP .
1424,They would just eat _,PRP MD RB VB :
1425,We tend to target the zeitgeist more than anything .,PRP VBP TO VB DT NN RBR IN NN .
1426,Of course we call it a sholids .,IN NN PRP VBP PRP DT NN .
1427,"Some of her designs have been presented posthumously , including the statuette for the 2017 Brit Awards , and many of her buildings are still under construction , including the Al Wakrah Stadium in Qatar , a venue for the 2022 FIFA World Cup .","DT IN PRP$ NNS VBP VBN VBN RB , VBG DT NN IN DT CD NNP NNP , CC JJ IN PRP$ NNS VBP RB IN NN , VBG DT NNP NNP NNP IN NNP , DT NN IN DT CD NNP NNP NNP ."
1428,Pico de la Mirandela would not have consented to the doctrine of original sin .,NNP NNP NNP NNP MD RB VB VBN IN DT NN IN JJ NN .
1429,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are not uncommon , and may even be the norm [ 16 ] .","IN NN , JJ NNS -LRB- NNS IN NNS -RRB- IN JJ CC DT NN VBG NN NN VBP RB JJ , CC MD RB VB DT NN -LRB- CD -RRB- ."
1430,We are ready to continue to do so .,PRP VBP JJ TO VB TO VB RB .
1431,They made their case with evidence that had been adduced here in the House .,PRP VBD PRP$ NN IN NN WDT VBD VBN VBN RB IN DT NNP .
1432,Are you okay ?,VBP PRP JJ .
1433,"Without realizing it , people are necessarily blinking throughout every conversation , every social interaction , every activity during the day .","IN VBG PRP , NNS VBP RB VBG IN DT NN , DT JJ NN , DT NN IN DT NN ."
1434,I made noises with my heels but they were too loud so I stopped .,PRP VBD NNS IN PRP$ NNS CC PRP VBD RB JJ RB PRP VBD .
1435,The researchers found that ozone pollution caused 46 percent of previously heat - attributed damage to soybean crops .,DT NNS VBD IN NN NN VBD CD NN IN RB NN HYPH VBN NN IN NN NNS .
1436,"Most people choose cars , but if headed to a central area , such as Main Street , it is best to drive there , park in a municipal parking lot , and walk around from there .","JJS NNS VBP NNS , CC IN JJ IN DT JJ NN , JJ IN NNP NNP , PRP VBZ JJS TO VB RB , VB IN DT JJ NN NN , CC VB RB IN RB ."
1437,"Seeking recognition beyond the Prague area , he submitted a score of his First Symphony to a prize competition in Germany , but did not win , and the unreturned manuscript was lost until rediscovered many decades later .","VBG NN IN DT NNP NN , PRP VBD DT NN IN PRP$ NNP NNP IN DT NN NN IN NNP , CC VBD RB VB , CC DT JJ NN VBD VBN IN VBN JJ NNS RBR ."
1438,"The stories of her mature period ( 1894 _ 96 ) were not only marked by her experience living near the red - light district and greater concern over the plight of women , but also by the influence of Ihara Saikaku , a 17th - century writer , whose stories she had recently discovered .","DT NNS IN PRP$ JJ NN -LRB- CD SYM CD -RRB- VBD RB RB VBN IN PRP$ NN VBG IN DT JJ HYPH NN NN CC JJR NN IN DT NN IN NNS , CC RB IN DT NN IN NNP NNP , DT JJ HYPH NN NN , WP$ NNS PRP VBD RB VBN ."
1439,The best thing that I thought about this bookstore was that they mixed in new copies of books with used copies .,DT JJS NN WDT PRP VBD IN DT NN VBD IN PRP VBD RP JJ NNS IN NNS IN JJ NNS .
1440,Let me just try the one ?,VB PRP RB VB DT NN .
1441,May the star never set and that hope never be betrayed !,MD DT NN RB VB CC DT NN RB VB VBN .
1442,These are good signs of arrogance .,DT VBP JJ NNS IN NN .
1443,Keep the soil moist until the seeds germinate .,VB DT NN JJ IN DT NNS VBP .
1444,"Besides , you , I mean if you 're a guy , if _","RB , PRP , PRP VBP IN PRP VBP DT NN , IN :"
1445,What are your thoughts on the job Bob McDonnell has done as Governor of Virginia ?,WP VBP PRP$ NNS IN DT NN NNP NNP VBZ VBN IN NNP IN NNP .
1446,"To provide information on the analytical sample as a whole , two additional demographic variables are included .","TO VB NN IN DT JJ NN IN DT NN , CD JJ JJ NNS VBP VBN ."
1447,The Galileo and Ulysses spacecraft carried dust detectors onboard that Eberhard Gruen and his colleagues used to first detect and them measure the flux of interstellar dust particles streaming into the solar system .,DT NNP CC NNP NN VBD NN NNS RB WDT NNP NNP CC PRP$ NNS VBD TO RB VB CC RB VB DT NN IN JJ NN NNS VBG IN DT JJ NN .
1448,Right .,JJ .
1449,"Many tens of thousands of acres were planted in citrus and cotton and other crops , and for many years , intensive , year - round irrigated agriculture formed the basis of the economy .","JJ NNS IN NNS IN NNS VBD VBN IN NN CC NN CC JJ NNS , CC IN JJ NNS , JJ , NN HYPH JJ JJ NN VBD DT NN IN DT NN ."
1450,The interior of the island is dominated by the beautiful and green Hagghier mountains and limestone plateau .,DT NN IN DT NN VBZ VBN IN DT JJ CC JJ NNP NNS CC NN NN .
1451,The mosque was designed to be a private mosque for the royal family and therefore it does not have any minarets .,DT NN VBD VBN TO VB DT JJ NN IN DT JJ NN CC RB PRP VBZ RB VB DT NNS .
1452,Oh .,UH .
1453,We owe it to future generations to make safety concerns come first when using nuclear power .,PRP VBP PRP IN JJ NNS TO VB NN NNS VB RB WRB VBG JJ NN .
1454,It can also be dangerous if you use toxic chemicals and poisons .,PRP MD RB VB JJ IN PRP VBP JJ NNS CC NNS .
1455,How are they all alike .,WRB VBP PRP RB JJ .
1456,"In 348 Pachomius died , naming the brother Petronios as his successor rather than the clearly qualified Theodorus .","IN CD NNP VBD , VBG DT NN NNP IN PRP$ NN RB IN DT RB VBN NNP ."
1457,"it is a transmedia system in the sense first used by Marsha Kinder ( 1991 ) and popularized by Henry Jenkins ( 2006 ) , in which media - hopping networks of intertextualities extend the _ storyworld _ of an original production .","PRP VBZ DT NN NN IN DT NN RB VBN IN NNP NNP -LRB- CD -RRB- CC VBN IN NNP NNP -LRB- CD -RRB- , IN WDT NN HYPH JJ NNS IN NNS VBP DT `` NN '' IN DT JJ NN ."
1458,The festival runs through March 11 this year .,DT NN VBZ IN NNP CD DT NN .
1459,So I have a mini-MMPI that I --,RB PRP VBP DT NNP WDT PRP :
1460,"In the interview , Herrick explains what wikiHow is , why he decided to create it , how he grew it in size , and why he chose to use a Creative Commons license ( HyperLink ) for his site .","IN DT NN , NNP VBZ WP NNP VBZ , WRB PRP VBD TO VB PRP , WRB PRP VBD PRP IN NN , CC WRB PRP VBD TO VB DT NNP NNP NN -LRB- NNP -RRB- IN PRP$ NN ."
1461,University exhibits can reach out and attract large audiences .,NN NNS MD VB RP CC VB JJ NNS .
1462,Sensitive Canadian document found on rainy streets,JJ JJ NN VBN IN JJ NNS
1463,"Since most people are going there anyway , you can always ask people to share taxi .","IN JJS NNS VBP VBG RB RB , PRP MD RB VB NNS TO VB NN ."
1464,Darn .,UH .
1465,"In the past Muggle Quidditch has mainly been played at colleges in the US , but over the last few years there has been a dramatic rise in the number of community teams .","IN DT JJ NNP NNP VBZ RB VBN VBN IN NNS IN DT NNP , CC IN DT JJ JJ NNS EX VBZ VBN DT JJ NN IN DT NN IN NN NNS ."
1466,_ Stop that now ! _ came the voice again .,`` VB DT RB . '' VBD DT NN RB .
1467,"I try to work on a very low budget , and like to build most of the experimental setups myself ( we actually have equipment in the lab nicknamed the ' Nickinator ' , ' i-Nick ' and the ' Nicktendo64 ' ) .","PRP VBP TO VB IN DT RB JJ NN , CC VBP TO VB JJS IN DT JJ NNS PRP -LRB- PRP RB VBP NN IN DT NN VBN DT `` NNP '' , `` NNP '' CC DT `` NNP '' -RRB- ."
1468,"Child , you 're having problems .","NN , PRP VBP VBG NNS ."
1469,I come back to it a lot .,PRP VBP RB IN PRP DT NN .
1470,Attack with the twenty - two .,VB IN DT CD HYPH CD .
1471,Which previous Virginia Governor(s) do you most admire and why ?,WDT JJ NNP NNS VBP PRP RBS VB CC WRB .
1472,Bieber not like the animal !,NNP RB IN DT NN .
1473,"Then , tackle the most important ones before looking back at the smaller things to do .","RB , VB DT RBS JJ NNS IN VBG RB IN DT JJR NNS TO VB ."
1474,"You can invite people to war over noses , but nobody will go to fight for noses any more .","PRP MD VB NNS IN NN IN NNS , CC NN MD VB TO VB IN NNS GW RB ."
1475,"The dislike of most for Roman Catholicism ( the prevailing religion of Mexico ) and a widely held belief in American racial superiority led them generally to regard Mexicans as dishonest , ignorant , and backward .","DT NN IN JJS IN JJ NNP -LRB- DT VBG NN IN NNP -RRB- CC DT RB VBN NN IN JJ JJ NN VBD PRP RB TO VB NNPS IN JJ , JJ , CC JJ ."
1476,The United Nations looks forward to convening the committee in Geneva in the coming weeks .,DT NNP NNPS VBZ RB IN VBG DT NN IN NNP IN DT VBG NNS .
1477,That was a joke .,DT VBD DT NN .
1478,"It is a lengthy day trip from Athens to visit Olympia , but quite interesting .","PRP VBZ DT JJ NN NN IN NNP TO VB NNP , CC RB JJ ."
1479,"Try the "" white rice "" option if your rice cooker gives you several options .",VB DT `` JJ NN '' NN IN PRP$ NN NN VBZ PRP JJ NNS .
1480,This was the sort of fantasy that could have occurred to any young child who lost an important relative .,DT VBD DT NN IN NN WDT MD VB VBN IN DT JJ NN WP VBD DT JJ NN .
1481,"Buddhist prayer flags , Wat Arun , Bangkok","JJ NN NNS , NNP NNP , NNP"
