,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
1498,Repeat until the chicken stops moving or squawking .,VB IN DT NN VBZ VBG CC VBG .,NN IN DT NN VBZ VBG CC VBG .,NN IN DT NN VBZ VBG CC VBG .,VB IN DT NN VBZ VBG CC JJ .,VB IN DT NN VBZ VBG CC VBG .,NN IN DT NN VBZ VBG CC VBG .,VB IN DT NN VBZ VBG CC VBG .
1499,"Her limbs were weathered and ringed , like the branches of trees in the dry country .","PRP$ NNS VBD JJ CC JJ , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN .","PRP$ NNS VBD VBN CC VBN , IN DT NNS IN NNS IN DT JJ NN ."
1500,you 're dwibbling .,PRP VBP VBG .,PRP VBP VBG .,PRP VBP VBG .,PRP VBP VBG .,PRP <UNK> VBG .,PRP VBP VBG .,PRP VBP VBG .
1501,I think .,PRP VBP .,PRP VBP .,PRP VBP .,PRP VBP .,PRP VBP .,PRP VBP .,PRP VBP .
1502,Is it in the United States now ?,VBZ PRP IN DT NNP NNPS RB .,VBZ PRP IN DT NNP NNPS RB .,VBZ PRP IN DT NNP NNP RB .,VBZ PRP IN DT NNP NNP RB .,VBZ PRP IN DT NNP NNP RB .,VBZ PRP IN DT NNP NNP RB .,VBZ PRP IN DT NNP NNPS RB .
1503,Who stood up for the Constitution and the laws ?,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NNP CC DT NNS .,WP VBD RP IN DT NN CC DT NNS .
1504,And I have a meeting tonight .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .,CC PRP VBP DT NN NN .
1505,It would seem like an incredible coincidence if the realists were right that our moral judgments are nonetheless true .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD RB IN PRP$ JJ NNS VBP RB JJ .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .
1506,Oh such a beautiful aerosol .,UH PDT DT JJ NN .,UH PDT DT JJ NN .,UH PDT DT JJ NN .,UH PDT DT JJ NN .,UH PDT DT JJ NN .,UH JJ DT JJ NN .,UH PDT DT JJ NN .
1507,"The e-mail said , ' Frank , I have never bothered you during the game , but I just wanted to say thank you for your work and thank you for making some sense of the successes and failures and I wish you much success with your work . '","DT NN VBD , `` NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT NN VBD , '' NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB NN PRP IN PRP$ NN CC VB PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT NN VBD , '' NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT <UNK> VBD , '' NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT NN VBD , '' NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT NN VBD , '' NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VB PRP IN PRP$ NN CC VB PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''","DT NN VBD , `` NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''"
1508,"I wanted to feel the rough edge of the pocket of his coat against my cheek , but I was too tall .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ ."
1509,"As soon as your friends understand your language , communicate to them with it .","RB RB IN PRP$ NNS VBP PRP$ NN , VB IN PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , NN TO PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , VBP IN PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , VB IN PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , VBP IN PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , VB TO PRP IN PRP .","RB RB IN PRP$ NNS VBP PRP$ NN , VB IN PRP IN PRP ."
1510,"For their part , African American soldiers welcomed the opportunity to prove themselves .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP ."
1511,"she thinks that you lack a serious nature . """,PRP VBZ IN PRP VBP DT JJ NN . '',PRP VBZ IN PRP VBP DT JJ NN . NN,PRP VBZ IN PRP VBP DT JJ NN . ``,PRP VBZ IN PRP VBP DT JJ NN . '',PRP VBZ IN PRP VBP DT JJ NN . '',PRP VBZ IN PRP VBP DT JJ NN . '',PRP VBZ IN PRP VBP DT JJ NN . ''
1512,Ooh .,UH .,NNP .,NN .,UH .,UH .,NNP .,UH .
1513,And it was in a grandmother bar by the waterfront _ sipping hot tea with rum and watching over the shoulders of dockworkers playing mah - jongg _ that I first heard of the valley of giants .,CC PRP VBD IN DT NN NN IN DT NN : VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN HYPH NN : IN PRP RB VBD IN DT NN IN NNS .,CC PRP VBD IN DT NN NN IN DT NN NNP VBG JJ NN IN NN CC NN IN DT NNS IN NNS VBG SYM : NN IN DT PRP RB NN IN DT NN IN NNS .,CC PRP VBD IN DT NN NN IN DT NN HYPH VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN HYPH NN : IN PRP RB VBD IN DT NN IN NNS .,CC PRP VBD IN DT NN NN IN DT NN : VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN : NNP : IN PRP RB VBD IN DT NN IN NNS .,"CC PRP VBD IN DT NN NN IN DT NN , VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN HYPH NNP , WDT PRP RB VBD IN DT NN IN NNS .",CC PRP VBD IN DT NN NN IN DT NN IN VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG FW : NN NN IN PRP RB VBD IN DT NN IN NNS .,CC PRP VBD IN DT NN NN IN DT NN : VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN HYPH NN : WDT PRP RB VBD IN DT NN IN NNS .
1514,We the leaders must deliver for we the peoples .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .,PRP DT NNS MD VB IN PRP DT NNS .
1515,"From the first pad , many more will form .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB .","IN DT JJ NN , JJ JJR MD VB ."
1516,January - june 2016 philippine power demand,NNP SYM NNP CD JJ NN NN,NNP : NN CD NN NN NN,NNP HYPH NNP CD JJ NN NN,NNP HYPH NNP CD JJ NN NN,NNP HYPH NNP CD JJ NN NN,NNP : NN CD NN NN NN,NNP HYPH NNP CD JJ NN NN
1517,"For instance , the evolutionary theory regards artistic beauty as _ fitness signal _ that displays desirable personal qualities that strengthen reproductive advantage , and our pleasant feeling caused by something beautiful , like sexual pleasure , is engraved in our minds by the process of evolution , assisting us to make the _ the most adaptive decisions for survival and reproduction . _ [ 41 ]","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN '' WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . '' -LRB- CD -RRB-","IN NN , DT JJ NN NNS JJ NN IN JJ JJ NN NN WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT NNP DT RBS JJ NNS IN NN CC NN . VB JJ CD NN","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN '' WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . '' -LRB- CD -RRB-","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN '' WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . '' -LRB- CD -RRB-","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN NN WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . NFP -LRB- CD -RRB-","IN NN , DT JJ NN VBZ JJ NN IN JJ NN NN RB IN NNS JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT NN DT RBS JJ NNS IN NN CC NN . '' VBZ CD NN","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN '' WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . '' -LRB- CD -RRB-"
1518,If it was a review or not .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .,IN PRP VBD DT NN CC RB .
1519,Our study is organized as follows .,PRP$ NN VBZ VBN IN VBZ .,PRP$ NN VBZ VBN IN VBZ .,PRP$ NN VBZ VBN IN VBZ .,PRP$ NN VBZ VBN IN VBZ .,PRP$ NN VBZ VBN IN VBZ .,PRP$ NN VBZ VBN RB VBZ .,PRP$ NN VBZ VBN IN VBZ .
1520,We observe that this item fulfils a crucial need shared by all languages _ the efficient signalling of problems of hearing and understanding _ and we propose that its form is constrained by selective pressures in a conversational environment that is essentially the same in all languages .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS : DT JJ NN IN NNS IN NN CC NN : CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS VBP DT JJ NN IN NNS IN VBG CC JJ NN CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS : DT JJ NN IN NNS IN NN CC NN HYPH CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS : DT JJ NN IN NNS IN NN CC NN : CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS '' DT JJ NN IN NNS IN NN CC NN '' CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .,"PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS , DT JJ NN IN NNS IN NN CC NN NN CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .",PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS : DT JJ NN IN NNS IN NN CC NN : CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .
1521,Cleveland from lakefront .,NNP IN NN .,NN IN NN .,NNP IN NN .,NNP IN NN .,NNP IN NN .,NNP IN NN .,NNP IN NNP .
1522,My hair is in a bun .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .,PRP$ NN VBZ IN DT NN .
1523,Yes .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
1524,"In short , many important research questions will benefit from the availability of accurate and frequently - recollected census data .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN NN CC RB : VBN NN NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB : VBD JJ NNS .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS ."
1525,"As well as appearing in films , Goode has appeared in numerous television shows .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS ."
1526,and ... ( how do I best explain this ? ),CC : -LRB- WRB VBP PRP RBS VB DT . -RRB-,CC : ( WRB VBP PRP JJS NN DT . ),CC NFP -LRB- WRB VBP PRP JJS VB DT . -RRB-,CC NFP -LRB- WRB VBP PRP RBS VB DT . -RRB-,CC NFP : WRB VBP PRP RBS VB DT . NFP,CC : -LRB- WRB VBP PRP RB VB DT . -RRB-,"CC , -LRB- WRB VBP PRP RBS VB DT . -RRB-"
1527,"Now I was ready to make and to bake _ only in my heart , actually _ a small , perfect unleavened wafer to eat with my beloved Paschal Lamb .","RB PRP VBD JJ TO VB CC TO VB : RB IN PRP$ NN , RB : DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB NNP RB IN PRP$ NN , RB VBZ DT JJ , JJ VBD NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB SYM RB IN PRP$ NN , RB HYPH DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB : RB IN PRP$ NN , RB : DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB `` RB IN PRP$ NN , RB `` DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB RB RB IN PRP$ NN , RB VBD DT JJ , JJ IN NN TO VB IN PRP$ JJ NNP NNP .","RB PRP VBD JJ TO VB CC TO VB : RB IN PRP$ NN , RB : DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP ."
1528,Another theme Higuchi repeated was the ambition and cruelty of the Meiji middle class .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP NN NN .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .
1529,"Tasmania was excluded from the study - where an voluntary iodine fortification program using iodised salt in bread , is ongoing .","NNP VBD VBN IN DT NN : WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ JJ .","NNP VBD VBN IN DT NN : WRB DT JJ NN NN NN VBG JJ NN IN NN , VBZ VBG .","NNP VBD VBN IN DT NN , WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ JJ .","NNP VBD VBN IN DT NN : WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ JJ .","NNP VBD VBN IN DT NN , WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ VBG .","NNP VBD VBN IN DT NN : WRB DT JJ NN IN NN VBG JJ NN IN NN , VBZ JJ .","NNP VBD VBN IN DT NN , WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ JJ ."
1530,"Discovery has already been retired following the completion of STS - 133 last month , its 39th mission .","NNP VBZ RB VBN VBN VBG DT NN IN NNP HYPH CD JJ NN , PRP$ JJ NN .","NNP VBZ RB VBN VBN VBG DT NN IN NNP : CD JJ NN , PRP$ CD NN .","NNP VBZ RB VBN VBN VBG DT NN IN NN HYPH CD JJ NN , PRP$ JJ NN .","NNP VBZ RB VBN VBN VBG DT NN IN NNP : CD JJ NN , PRP$ JJ NN .","NNP VBZ RB VBN VBN VBG DT NN IN NNP HYPH CD JJ NN , PRP$ JJ NN .","NNP VBZ RB VBN VBN VBG DT NN IN NNS : CD JJ NN , PRP$ JJ NN .","NNP VBZ RB VBN VBN VBG DT NN IN NNP SYM CD JJ NN , PRP$ JJ NN ."
1531,"Currently exurbs such as Apache Junction , Fountain Hills , Queen Creek , and Sun City are becoming part of this metropolitan area as well .","RB NNS JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB VBZ JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB NNS JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB VBZ JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB NNS JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB VBZ JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB .","RB NNS JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB ."
1532,Oh no .,UH UH .,UH DT .,UH UH .,UH UH .,UH UH .,UH UH .,UH UH .
1533,Did they train you _,VBD PRP VB PRP :,NNP PRP VBP PRP VBP,VBD PRP VB PRP :,VBD PRP VB PRP :,VBD PRP VB PRP .,VBD PRP VB PRP .,VBD PRP VB PRP :
1534,"The six studies tested L2 learners after periods of 1 month to 50 years of limited L2 exposure , mainly on general language skills [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] , [ 24 ] , though also on more specific paradigms meant to target aspects of grammatical abilities [ 17 ] , [ 18 ] or lexical abilities [ 22 ] , [ 23 ] .","DT CD NNS VBD NN NNS IN NNS IN CD NN IN CD NNS IN JJ NN NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , RB RB IN RBR JJ NNS VBN TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- .","DT CD NNS VBN NNP NNS IN NNS IN CD NN TO CD NNS IN JJ NNP NN , RB IN JJ NN NNS VBP CD NN , VBZ CD NN , VBZ CD NN , VBZ CD NN , VBZ CD NN , RB RB IN RBR JJ NN NN TO VB NNS IN JJ NNS VBP CD NN , VBZ CD NN CC JJ NNS VBP CD NN , VBZ CD NN .","DT CD NNS VBN NN NNS IN NNS IN CD NN IN CD NNS IN JJ NN NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , IN RB IN JJR JJ NNS VBN TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- .","DT CD NNS VBD NN NNS IN NNS IN CD NN IN CD NNS IN JJ NNP NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , IN RB IN RBR JJ NNS VBN TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- .","DT CD NNS VBD NNP NNS IN NNS IN CD NN IN CD NNS IN JJ NNP NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , IN RB IN RBR JJ NNS VBD TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- .","DT CD NNS VBN IN NNS IN NNS IN CD NN TO CD NNS IN JJ JJ NN , RB IN JJ NN NNS VBP CD JJ , JJ CD NN , NNP CD NNP , NNP CD NNP , NNP CD NN , RB RB IN JJR JJ NNS VBD TO VB NNS IN JJ NNS IN CD NN , NNP CD SYM CC JJ NNS VBD CD NN , NNP CD NN .","DT CD NNS VBD NN NNS IN NNS IN CD NN IN CD NNS IN JJ NN NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , RB RB IN RBR JJ NNS VBN TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- ."
1535,"Later in 1689 a revolution broke out in Moscow , and with the troops under his command Gordon virtually decided events in favour of Peter the Great , [ 3 ] and against the Regent , Tsarevna Sophia Alekseyevna .","RBR IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP .","RB IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , NNP CD NN CC IN DT NNP , NNP NNP NNP .","RBR IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP .","RB IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP .","RB IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT JJ , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP .","RB IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , VBD CD NN CC IN DT NNP , NNP NNP NNP .","RBR IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP ."
1536,She was a big big big mama .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .,PRP VBD DT JJ JJ JJ NN .
