,sequence,pos,nltk,corenlp,opennlp,spacy,flair
1174,is path in dir test,VBZ NN IN NN NN,VBZ NN IN JJ NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN
1175,is link in dir test,VBZ NN IN NN NN,VBZ NN IN JJ NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN
1176,filter safe paths test,VB JJ NNS NN,NN JJ NNS NN,VB JJ NNS NN,NN JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN
1177,extract archive test,VB NNP NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1178,get file test,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1179,hash file test,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN
1180,test validate file,VB VB NN,VB NN NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
1181,resolve hasher test,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1182,is remote path test,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN
1183,test raise if no g file,VB VB IN DT FW NN,VB VB IN DT NN NN,VB NN IN DT NN NN,VB NN IN DT NN NN,VB NN IN DT NN NN,VB NN IN DT FW NN
1184,text dataset from directory test,VB NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,VB NN IN NN NN
1185,torch module wrapper,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
1186,image dataset from directory test,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,VB NN IN NN NN,NN NN IN NN NN,VB NN IN NN NN
1187,flax layer,NN NN,VB NN,VB NN,VB NN,JJ NN,VB NN
1188,timeseries dataset test,NNS NN NN,VBZ NN NN,VB NN NN,NNS NN NN,VBZ VB NN,NNS NN NN
1189,tree test,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
1190,prog bar,NN NN,VB NN,VB NN,NN NN,JJ NN,NN NN
1191,dot not track scope,NN RB VBP NN,VB RB VB NN,VBZ RB NN NN,VB RB NN NN,NNP RB VB NN,VB RB VB NN
1192,tracker,NN,NN,NN,NN,NN,NN
1193,tracked list,VBN NN,VBN NN,VB NN,JJ NN,VBN NN,VBN NN
1194,tracked dict,VBN NN,VBN NN,VB NN,JJ JJ,VBN NN,VBN NN
1195,tracked set,VBN NN,VBN NN,VB NN,JJ VB,VBN NN,VBN NN
1196,dataset utils test,NN NNS NN,VB JJ NN,VB NN NN,VB NNP NN,VB NNS NN,NN NNS NN
1197,dataset,NN,VB,VB,VB,VB,NN
1198,classifier,NN,VB,VB,NN,VB,NN
1199,classifier with no special casing,NN IN DT JJ NN,VB IN DT JJ NN,VB IN DT JJ NN,NN IN DT JJ NN,VB IN DT JJ NN,NN IN DT JJ NN
1200,torch utils test,NNP NNS NN,VB JJ NN,VB NN NN,NN NNP NN,VB NNS NN,VB NNS NN
1201,test numerical utils,VB JJ NNS,VB JJ NNS,VB NN NN,VB JJ NNS,VB JJ NNS,VB JJ NNS
1202,flax training independent model,NN NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB JJ NN NN,VB NN JJ NN,VB NN JJ NN
1203,flax dropout model,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1204,flax batch norm model,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN JJ NN,JJ NN NN NN,JJ NN NN NN
1205,test jax layer,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1206,test model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1207,my flax layer,PRP$ NN NN,PRP$ NN NN,VB NN NN,VB NN NN,MD NN NN,DT NN NN
1208,named point,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
1209,tracking test,NN NN,VBG NN,VB NN,JJ NN,VBG NN,VBG NN
1210,tf graph scope,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,TO NN NN,IN NN NN
1211,dynamic backend,JJ NN,JJ NN,JJ NN,JJ JJ,JJ NN,JJ NN
1212,dl prog bar,NNP NNS NN,VB NN NN,VB NN NN,NN NN NN,VB JJ NN,FW NN NN
1213,python utils test,NNP NNS NN,VB JJ NN,NN NN NN,VB NNP NN,VB NNS NN,NN NNS NN
1214,lazy module,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1215,test random seed setting,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NNS NN,VB JJ NN NN,VB JJ NN NN
1216,test io utils,VB NNP NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB IN NNS
1217,test count loc,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NNP,VB NN NN
1218,map to none,VB IN PRP,VB TO NN,VB TO RB,VB TO NN,VB TO RB,VB TO RB
1219,pad sequences test,VB NNS NN,VB NNS NN,VB NN NN,VB NNS VB,VB NNS NN,NN NNS NN
1220,summary utils test,VB NNS NN,VB NNS NN,NN NN NN,VB NNP NN,VB NNS NN,JJ NNS NN
1221,d type size tests,FW NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,VB NN NN NNS,NN NN NN NNS
1222,is float tests,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ JJ NNS,VBZ NN NNS
1223,cast to common d type,VB IN JJ FW NN,VB TO JJ NN NN,VB TO JJ NN NN,VB TO JJ JJ NN,VB TO JJ NN NN,VB TO JJ NN NN
1224,audio dataset from directory test,NN NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN,VB VB IN NN NN,VB NN IN NN NN
1225,segment sum,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1226,segment max,NN NN,NN NN,NN NN,NN JJ,NN NN,NN NN
1227,top k,JJ CD,JJ NN,JJ FW,JJ FW,JJ FW,JJ FW
1228,in top k,IN JJ CD,IN JJ NN,IN JJ FW,IN JJ FW,IN JJ FW,IN JJ FW
1229,logsumexp,NNP,VB,VB,VB,NN,NN
1230,extract sequences,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1231,fft,NNP,VB,VB,VB,VB,NN
1232,fft 2,NNP CD,NN CD,NN CD,NN CD,NN CD,NN CD
1233,rfft,NNP,VB,VB,VB,VB,NN
1234,irfft,NNP,VB,VB,VB,VB,NN
1235,stft,NNP,VB,VB,NN,VB,NN
1236,istft,NNP,VB,VB,VBZ,NN,NN
1237,r sqrt,NNP NNP,VB NN,NN NN,NN NN,FW NN,NN NN
1238,erf,NNP,VB,VB,VB,NN,NN
1239,erf inv,NNP NNP,VB NN,VB NN,VB NN,NN NN,NN NN
1240,dummy layer,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
1241,node test,NN NN,NN NN,NN NN,NN VB,NN NN,NN NN
1242,op with multiple inputs,NN IN JJ NNS,VB IN JJ NNS,VB IN JJ NNS,VB IN JJ NNS,NN IN JJ NNS,VB IN JJ NNS
1243,op with multiple outputs,NN IN JJ NNS,VB IN JJ NNS,VB IN JJ NNS,VB IN JJ NNS,NN IN JJ NNS,VB IN JJ NNS
1244,op with custom constructor,NN IN JJ NN,VB IN JJ NN,VB IN JJ NN,VB IN JJ NN,NN IN JJ NN,VB IN JJ NN
1245,operation test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1246,absolute,JJ,VB,VB,VB,VB,NN
1247,abs,JJ,VB,VB,IN,NN,NNP
1248,add,VB,VB,VB,VB,VB,VB
1249,all,DT,DT,DT,DT,DT,DT
1250,any,DT,DT,DT,VB,DT,DT
1251,a max,DT NN,DT NN,NN NN,FW JJ,FW NN,DT NN
1252,amin,NNP,VB,VB,VB,VB,NN
1253,append,VB,VB,VB,VB,VB,VB
1254,a range,DT NN,DT NN,NN NN,VB NN,FW NN,DT NN
1255,arccos,NNP,VB,VB,VB,JJ,NNS
1256,arc cosh,NNP NN,VB NN,VB NN,FW NN,VB NN,NN NN
1257,arcsin,NNP,VB,VB,VB,VBN,NN
1258,arc sinh,NNP NNP,VB NN,VB NN,FW NN,VB NNS,NN NN
1259,arctan,NNP,VB,VB,VB,NN,NN
1260,arctan 2,NNP CD,NN CD,NN CD,NN CD,NN CD,NN CD
1261,arc tanh,NNP NNP,VB NN,VB NN,FW NN,VB NN,NN NN
1262,arg max,NNP JJ,VB NN,NN NN,NN JJ,NN NN,NN NN
1263,arg min,NNP JJ,VB NN,NN NN,NN JJ,NN NN,NN NN
1264,arg sort,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
1265,array,NN,NN,NN,NN,NN,NN
1266,average,NN,JJ,JJ,JJ,NN,JJ
1267,bin count,JJ NN,NN NN,VB NN,VB NN,NN NN,NN NN
1268,broadcast to,VB IN,VB TO,NN TO,NN TO,NN TO,VB TO
1269,ceil,VB,VB,VB,NN,VB,NN
1270,clip,VB,VB,VB,VB,NN,VB
1271,concatenate,VB,VB,VB,VB,VB,VB
1272,conjugate,VB,VB,VB,VB,VB,VB
1273,conj,VB,VB,VB,NN,VB,NN
1274,copy,VB,VB,VB,VB,VB,VB
1275,cos,NN,VB,VB,VB,NN,NNS
1276,cosh,NN,VB,VB,VB,NN,NN
1277,count nonzero,VB JJ,VB NN,VB NN,VB DT,VB JJ,VB NN
1278,cross,VB,VB,NN,VB,NN,VB
1279,cumprod,NNP,VB,VB,VB,VB,NN
1280,cumsum,NNP,VB,VB,NN,VB,NN
1281,diag,NN,VB,VB,NN,VB,NN
1282,diagonal,NN,JJ,VB,JJ,JJ,NN
1283,diff,NN,VB,NN,JJ,NN,NN
1284,digitize,VB,VB,VB,VB,VB,VB
1285,dot,VB,VB,VB,VB,NNP,VB
1286,einsum,NNP,VB,VB,NN,VB,NN
1287,empty,JJ,JJ,JJ,JJ,JJ,JJ
1288,equal,JJ,JJ,JJ,JJ,JJ,JJ
1289,exp,NN,VB,VB,VB,NN,NN
1290,expand dims,VB NNS,VB NNS,VB NN,VB NNS,VB NN,VB NNS
1291,expm 1,NNP CD,VBZ CD,NN CD,NN CD,NN CD,NN CD
1292,flip,VB,VB,VB,VB,VB,VB
1293,floor,VB,NN,VB,VB,NN,NN
1294,full,JJ,JJ,JJ,JJ,JJ,JJ
1295,full like,JJ JJ,JJ IN,JJ IN,JJ IN,JJ IN,JJ IN
1296,get item,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1297,greater,JJR,JJR,JJR,JJR,JJR,JJR
1298,greater equal,JJR JJ,JJR JJ,JJR JJ,JJR JJ,JJR JJ,JJR JJ
1299,h stack,FW NN,VB NN,NN NN,VB NN,FW NN,FW NN
1300,identity,NN,NN,NN,NN,NN,NN
1301,i mag,PRP VBP,VB NN,NN NN,NN NN,NN NN,NN NN
1302,is close,VBZ JJ,VBZ NN,VBZ NN,VBZ NN,VBZ VB,VBZ VB
1303,is finite,VBZ JJ,VBZ NN,VBZ NN,VBZ JJ,VBZ JJ,VBZ JJ
1304,is inf,VBZ NNP,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN
1305,is nan,VBZ NNP,VBZ NN,VBZ NN,VBZ NN,VBZ JJ,VBZ JJ
1306,less,JJR,JJR,JJR,JJR,NN,JJR
1307,less equal,JJR JJ,RBR JJ,JJR JJ,JJR JJ,JJR JJ,JJR JJ
1308,linspace,NNP,NN,VB,NN,VB,NN
1309,log,NN,NN,NN,VB,NN,VB
1310,log10,NNP,VB,VB,NN,NN,NN
1311,log 1 p,NN CD FW,NN CD FW,NN CD NN,NN CD NN,NN CD FW,NN CD FW
1312,log2,NNP,VB,VB,VB,FW,NN
1313,log add exp,NN VBP NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
1314,logical and,JJ CC,JJ CC,JJ CC,JJ CC,NNS CC,JJ CC
1315,logical not,JJ RB,JJ RB,JJ RB,JJ RB,JJ RB,JJ RB
1316,logical or,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC
1317,log space,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1318,mat mul,NN NN,VB NN,VB NN,VB JJ,NNP NNS,NN NN
1319,max,NN,JJ,JJ,JJ,NN,NN
1320,maximum,NN,JJ,JJ,JJ,NN,JJ
1321,median,NN,JJ,VB,NN,NNS,NN
1322,mesh grid,NN NN,VB NN,VB NN,VB NN,VB NN,NN NN
1323,min,NN,VB,NN,JJ,NN,NN
1324,minimum,NN,VB,JJ,JJ,JJ,NN
1325,mod,NN,VB,NN,VB,NN,NN
1326,move axis,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1327,nan to num,NNP IN NN,VB TO NN,VB TO NN,NN TO NN,VB TO NN,VB TO NN
1328,n dim,FW NN,VB NN,NN NN,NN NN,FW NN,NN NN
1329,nonzero,NNP,NN,VB,DT,JJ,NN
1330,not equal,RB JJ,RB JJ,RB JJ,RB JJ,RB JJ,RB JJ
1331,ones like,NN CC,NNS IN,VB IN,CD IN,RB IN,NNS IN
1332,zeros like,NNS CC,VB IN,VB IN,CD IN,NNS IN,NNS IN
1333,outer,JJ,NN,NN,NN,JJ,NN
1334,pad,NN,VB,VB,VB,VB,NN
1335,prod,NN,VB,VB,NN,NN,NN
1336,quantile,NN,VB,VB,VB,VB,VB
1337,ravel,VB,VB,VB,NN,VB,VB
1338,real,JJ,JJ,JJ,JJ,JJ,JJ
1339,reciprocal,JJ,JJ,VB,JJ,JJ,JJ
1340,repeat,VB,VB,VB,VB,VB,VB
1341,reshape,VB,VB,VB,VB,VB,VB
1342,roll,VB,VB,VB,NN,VB,VB
1343,round,VB,VB,NN,JJ,JJ,VB
1344,sign,VB,VB,VB,NN,NN,VB
1345,sin,NNP,VB,VB,IN,NN,VB
1346,sinh,NNP,VB,VB,NN,NNS,VB
1347,size,NN,NN,NN,NN,NN,NN
1348,sort,VB,VB,NN,VB,VB,VB
1349,split,VB,VB,VB,VB,VB,VB
1350,stack,NN,NN,NN,NN,NN,NN
1351,std,NNP,VB,JJ,JJ,JJ,NN
1352,swapaxes,NNPS,VB,VB,NNS,VBZ,NNS
1353,take,VB,VB,VB,VB,VB,VB
1354,take along axis,VB IN NN,VB IN NN,VB NN NN,VB NN NN,VB NN NN,VB IN NN
1355,tan,NNP,VB,VB,NN,NN,NN
1356,tanh,NNP,VB,VB,VB,VB,VB
1357,tensor dot,NN NN,VB NN,VB NN,NN NN,VB NNP,NN NN
1358,tile,VB,VB,VB,VB,NN,NN
1359,trace,VB,NN,NN,NN,NN,VB
1360,tri,NNP,VB,VB,VB,NN,VB
1361,tril,NNP,VB,VB,NN,NN,NNP
1362,triu,NNP,VB,VB,VB,NN,NN
1363,v dot,FW NN,VB NN,FW NN,VB NN,FW NNP,FW NN
1364,v stack,FW NN,VB NN,FW NN,VB NN,NN NN,FW NN
1365,where,WRB,WRB,WRB,WRB,WRB,WRB
1366,subtract,VB,VB,VB,VB,NN,VB
1367,multiply,VB,VB,VB,VB,NNS,VB
1368,divide,VB,VB,VB,VB,VB,VB
1369,divide no nan,VB DT NNP,VB DT NN,VB DT NN,VB DT NN,VB DT NN,VB DT NN
1370,true divide,RB VB,JJ NN,JJ NN,VB NN,JJ NN,JJ NN
1371,power,NN,NN,VB,NN,VB,NN
1372,negative,VB,JJ,JJ,JJ,JJ,JJ
1373,square,VB,VB,VB,VB,VB,NN
1374,sqrt,NNP,VB,VB,VB,NN,NN
1375,squeeze,VB,VB,VB,VB,NN,VB
1376,transpose,VB,VB,VB,VB,VB,VB
1377,mean,VB,VB,NN,NN,VB,VB
1378,var,NNP,VB,NN,NN,NN,NN
1379,sum,NN,VB,NN,NN,NN,NN
1380,zeros,NNS,VB,VB,CD,NNS,NNS
1381,ones,NNS,NNS,VB,CD,JJ,NNS
1382,eye,NN,NN,VB,VB,NN,NN
1383,floor divide,NN NN,NN NN,VB NN,VB NN,NN NN,NN NN
1384,logical xor,JJ NNP,JJ NNP,JJ NN,JJ NN,JJ NNP,JJ NN
1385,correlate,VB,VB,VB,VB,VB,VB
1386,function,NN,NN,NN,NN,NN,NN
1387,nn ops dynamic shape test,NNP NNP JJ NN NN,VB NNS JJ NN NN,VB NNS JJ NN NN,JJ NNS JJ NN NN,JJ NNS JJ NN NN,FW FW JJ NN NN
1388,softmax layer,NNP NN,VB NN,VB NN,NN NN,JJ NN,VB NN
1389,nn ops static shape test,NNP NN JJ NN NN,JJ VBZ JJ NN NN,VB NNS JJ NN NN,NN NNS JJ NN NN,JJ NNS JJ NN NN,FW FW JJ NN NN
1390,nn ops correctness test,NNP NN NN NN,JJ VBZ NN NN,VB NNS NN NN,NN NNS NNS NN,JJ NNS NN NN,FW FW NN NN
1391,test logit recovery,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN
1392,nn ops d type test,NNP NN JJ NN NN,JJ NN NN NN NN,VB NNS NN NN NN,VB NNS NN NN NN,JJ NNS NN NN NN,VB FW NN NN NN
1393,linalg ops dynamic shape test,NNP NN JJ NN NN,VB NNS JJ NN NN,VB NNS JJ NN NN,JJ NNS JJ NN NN,VB JJ JJ NN NN,NNP NNP JJ NN NN
1394,linalg ops static shape test,NNP NN JJ NN NN,VB NNS JJ NN NN,VB NNS JJ NN NN,NN NNS JJ NN NN,VB JJ JJ NN NN,NNP NNP JJ NN NN
1395,linalg ops correctness test,NNP NN NN NN,VB NNS NN NN,VB NNS NN NN,NN NNS NNS NN,VB NNS NN NN,NNP NNP NN NN
1396,qr op test,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,FW FW NN
1397,scatter,NN,NN,VB,NN,NN,VB
1398,scatter update,NN NN,NN NN,VB NN,NN NN,VB NN,VB NN
1399,slice,NN,VB,VB,VB,VB,VB
1400,slice update,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1401,while loop,IN NN,IN NN,IN NN,VB NN,IN NN,IN NN
1402,stop gradient,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1403,f ori loop,FW NNP NN,VB NN NN,NN NN NN,VB NN NN,FW NNP NN,FW NNP NN
1404,unstack,NNP,NN,VB,JJ,NN,VB
1405,cast,VB,VB,VB,VB,VB,VB
1406,cond,NNP,NN,VB,VB,VB,NN
1407,symbolic arguments,JJ NNS,JJ NNS,VB NNS,NNP NNS,JJ NNS,JJ NNS
1408,math ops dynamic shape test,NN NN JJ NN NN,VB NNS JJ NN NN,VB NNS JJ NN NN,VB NNS JJ NN NN,NN JJ JJ NN NN,NN NNS JJ NN NN
1409,math ops static shape test,NN NN JJ NN NN,NN NNS JJ NN NN,VB NNS JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN
1410,math ops correctness test,NN NN NN NN,NN NNS NN NN,VB NNS NN NN,NN NNS NNS NN,VB NNS NN NN,VB NNP NN NN
1411,math d type test,NN FW NN NN,NN NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN
1412,extract sequences op test,VB NNS NNP NN,VB NNS RB VB,VB NN NN NN,VB NNS NN NN,VB NNS NN NN,VB NNS IN NN
1413,segment sum test,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN
1414,segment max test,NN NN NNP,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
1415,top k test,JJ CD NN,JJ NN NN,JJ FW NN,JJ FW NN,JJ FW NN,JJ FW NN
1416,in top k test,IN JJ CD NN,IN JJ NN NN,IN JJ FW NN,IN JJ NN NN,IN JJ FW NN,IN JJ FW NN
1417,logsumexp test,NNP NN,VB NN,VB NN,VB VB,NN NN,NN NN
1418,fft test,NNP NN,VB NN,VB NN,VB VB,VB NN,NNP NN
1419,fft 2 test,NNP CD NN,NN CD NN,VB CD NN,VB CD NN,NN CD VB,NNP CD NN
1420,rfft test,NNP NN,VB NN,VB NN,VB VB,VB NN,NNP NN
1421,istft test,NNP NN,VB NN,VB NN,VB VB,NN NN,NNP NN
1422,operation utils test,NN NNS NN,NN NNS NN,NN NN NN,NN NNP NN,NN NNS NN,NN NNS NN
1423,numpy two input ops dynamic shape test,NNP CD NN NN JJ NN NN,VB CD NN NNS JJ NN NN,NN CD NN NNS JJ NN NN,NN CD NN NNS JJ NN NN,NNS CD NN JJ JJ NN NN,JJ CD NN NNS JJ NN NN
1424,numpy two input ops static shape test,NNP CD NN NN JJ NN NN,VB CD NN NNS JJ NN NN,NN CD NN NNS JJ NN NN,NN CD NN NNS JJ NN NN,NNS CD NN NN JJ NN NN,JJ CD NN NNS JJ NN NN
1425,numpy one input ops dynamic shape test,NNP CD NN NN JJ NN NN,VB CD NN VBZ JJ NN NN,VB CD NN NNS JJ NN NN,VB CD NN NNS JJ NN NN,NNS CD VB JJ JJ NN NN,JJ CD NN NNS JJ NN NN
1426,numpy one input ops static shape test,NNP CD NN NN JJ NN NN,VB CD NN VBZ JJ NN NN,VB CD NN NNS JJ NN NN,VB CD NN NNS JJ NN NN,NNS CD VB JJ JJ NN NN,JJ CD NN NNS JJ NN NN
1427,numpy two input ops corretness test,NNP CD NN NN NN NN,VB CD NN NNS NN NN,NN CD NN NNS NN NN,NN CD NN NNS NN NN,NNS CD NN NNS NN NN,JJ CD NN NNS NN NN
1428,numpy one input ops correctness test,NNP CD NN NN NN NN,VB CD NN VBZ JJ NN,VB CD NN NNS NN NN,VB CD NN NNS NN NN,NNS CD VB NNS NN NN,JJ CD NN NNP NN NN
1429,numpy array create ops correctness test,NN NN VB NN NN NN,JJ NN VB NNS NN NN,VB NN VB NNS NN NN,JJ NN VB NNS NNS NN,NNS NN VB NNS NN NN,JJ NN VB NNS NN NN
1430,sparse test,JJ NN,VB NN,VB NN,VB VB,VB NN,JJ NN
1431,numpy d type test,NNP FW NN NN,NN NN NN NN,VB NN NN NN,NN NN NN NN,NNS NN NN NN,JJ NN NN NN
1432,relu,NNP,VB,VB,VB,VB,VB
1433,relu 6,NNP CD,NN CD,NN CD,NN CD,VB CD,NN CD
1434,sigmoid,NNP,VB,VB,NN,NN,NN
1435,soft plus,JJ NN,JJ NN,VB NN,NN NN,VBN NN,JJ NN
1436,soft sign,JJ NN,JJ NN,VB NN,NN NN,JJ NN,JJ NN
1437,silu,NNP,VB,VB,NN,NNS,NN
1438,log sigmoid,NN NNP,VB NN,VB NN,VB NN,NN NN,VB NN
1439,leaky relu,JJ NNP,VB NN,VB NN,VB NN,NN NN,JJ NN
1440,hard sigmoid,JJ NNP,JJ NN,VB NN,NN NN,NN NN,JJ NN
1441,hard silu,JJ NNP,JJ NN,VB NN,NN NN,VB NNS,JJ NN
1442,elu,NNP,VB,VB,VB,VB,NN
1443,selu,NNP,VB,VB,VB,VB,NN
1444,gelu,NNP,NN,VB,VB,VB,NN
1445,softmax,NNP,VB,VB,NN,NN,NN
1446,log softmax,NN NNP,VB NN,VB NN,VB NN,VB NN,VB NN
1447,max pool,JJ VB,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1448,average pool,JJ VB,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1449,conv,NNP,VB,VB,VB,VB,NN
1450,depthwise conv,RB NNP,VB NN,VB NN,VB NN,VB NN,NN NN
1451,separable conv,JJ NNP,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
1452,conv transpose,NN VB,VB NN,VB NN,VB NN,VB NN,FW VB
1453,one hot,CD JJ,CD NN,CD JJ,CD NN,CD NN,CD NN
1454,multi hot,JJ JJ,JJ NN,JJ JJ,JJ NN,JJ NN,JJ NN
1455,moments,NNS,NNS,VB,NNS,NNS,NNS
1456,batch norm,NN NNP,VB NN,NN NN,NN JJ,VB NN,NN NN
1457,ctc loss,NNP NN,VB NN,VB NN,VB NN,VB NN,FW NN
1458,normalize,VB,VB,VB,VB,VB,VB
1459,resize,VB,VB,VB,VB,VB,VB
1460,affine transform,JJ NN,VB NN,VB NN,VB NN,VB NN,VB VB
1461,extract patches,VB NNP,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1462,map coordinates,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,NN NNS
1463,pad images,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,NN NNS
1464,crop images,VB NNS,NN NNS,VB NN,VB NNS,VB NNS,VB NNS
1465,cholesky,NNP,VB,VB,VB,NN,NN
1466,det,NNP,VB,VB,VB,NN,VB
1467,eig,NNP,VB,VB,JJ,NN,NN
1468,inv,NNP,VB,VB,VB,NNP,VB
1469,lu factor,NNP NN,VB NN,VB NN,VB NN,VB NN,NNP NN
1470,norm,NN,VB,VB,VB,NN,NN
1471,qr,NNP,VB,VB,VB,VB,FW
1472,solve,VB,VB,VB,VB,NNS,VB
1473,solve triangular,VB JJ,VB NN,VB NN,VB JJ,JJ NNS,VB NN
1474,svd,NNP,VB,VB,VB,NN,NNP
1475,operation,NN,NN,NN,NN,NN,NN
1476,node,NN,NN,NN,NN,NN,NN
1477,keras history,NNP NN,VB NN,VB NN,VBZ NN,NN NN,VB NN
1478,core ops static shape test,NN NN JJ NN NN,VB NNS JJ NN NN,JJ NNS JJ NN NN,VB NNS JJ NN NN,VB JJ JJ JJ NN,JJ NNS JJ NN NN
1479,core ops correctness test,NN NN NN NN,VB NNS NN NN,JJ NNS NN NN,VB NNS NNS NN,VB NNS NN NN,JJ NNS NN NN
1480,example layer,NN NN,NN NN,VB NN,VB NN,JJ NN,VB NN
1481,core ops d type test,NN NN NN NN NN,VB NN NN NN NN,JJ NNS NN NN NN,VB NNS NN NN NN,VB NNS NN NN NN,JJ NNS NN NN NN
1482,core ops calls tests,NN NN NNS NNS,VB NNS VBZ NNS,JJ NNS NNS NNS,VB NNS NNS NNS,VB JJ NNS NNS,JJ NNS NNS NNS
1483,image ops dynamic shape test,NN NN JJ NN NN,NN JJ JJ NN NN,NN NNS JJ NN NN,VB NNS JJ NN NN,NN JJ JJ NN NN,NN NNS JJ NN NN
1484,image ops static shape test,NN NN JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN,VB NNS JJ NN NN,NN JJ JJ NN NN,NN NNS JJ NN NN
1485,image ops correctness test,NN NN NN NN,NN NNS NN NN,NN NNS NN NN,VB NNS NNS NN,NN NNS NN NN,NN NNS NN NN
1486,function test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1487,symbolic arguments test,JJ NNS NN,JJ NNS NN,VB NNS NN,NNP NNS NN,JJ NNS NN,JJ NNS NN
1488,random normal,JJ NN,JJ JJ,JJ JJ,JJ JJ,JJ JJ,JJ JJ
1489,truncated normal,JJ NN,VBN JJ,JJ JJ,VBN JJ,VBN JJ,VBN JJ
1490,random uniform,JJ NN,JJ NN,JJ NN,JJ NN,NN NN,JJ NN
1491,variance scaling,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1492,glorot uniform,NNP NN,NN NN,VB NN,VB NN,NN NN,NNP NN
1493,glorot normal,NNP NN,NN JJ,VB JJ,VB JJ,NN JJ,NNP JJ
1494,lecun normal,NNP NN,VB JJ,VB JJ,VB JJ,NNS JJ,NN JJ
1495,lecun uniform,NNP NN,VB NN,VB NN,VB NN,NNS NN,VB NN
1496,he normal,NNP NN,PRP JJ,VB JJ,VB JJ,IN JJ,DT JJ
1497,he uniform,NNP NN,PRP VB,VB NN,VB NN,VB NN,DT NN
1498,orthogonal initializer,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
1499,constant initializers test,NN NNS NN,VB NNS NN,JJ NN NN,VB NNS VB,JJ NNS NN,JJ NNS NN
1500,initializers test,NNS NN,NNS NN,VB NN,VB VB,NNS NN,NNS NN
